"text","label"
"Mày làm trò cười cho cả lớp xem.","1"
"Mày đúng là đồ khốn nạn.","1"
"Bạn có thể giới thiệu cho mình quán ăn ngon không?","0"
"Mình vừa đọc một cuốn sách rất hay.","0"
"Mình vừa đọc một cuốn sách rất hay.","0"
"Cậu có thể cho mình mượn vở được không?","0"
"Thua cả con nít lớp một, thật là nhục.","1"
"Cậu đã xem tin tức hôm nay chưa?","0"
"Cả bọn tao sẽ cho mày một bài học.","1"
"Mày có biết mình ngu đến mức nào không?","1"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Học nhóm vui quá, lần sau tổ chức nữa nhé.","0"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Hôm nay mình mang bánh cho cả lớp ăn nè.","0"
"Mày thật là một thằng dốt.","1"
"Cái thứ vô dụng như mày chỉ tổ làm người khác bực mình.","1"
"Mày đi chỗ khác chơi, đừng làm phiền.","1"
"Mày có biết mình ngu đến mức nào không?","1"
"Gặp tao ngoài đường là mày biết tay.","1"
"Mày coi chừng đó, không phải chuyện đùa đâu.","1"
"Học nhóm vui quá, lần sau tổ chức nữa nhé.","0"
"Mình thấy bạn học giỏi quá, chỉ mình với.","0"
"Cảm ơn cậu đã giúp đỡ mình lúc trước.","0"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Cả bọn tao sẽ cho mày một bài học.","1"
"Chúc cậu một ngày tốt lành.","0"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Cái thứ khốn nạn như mày chỉ tổ làm người khác bực mình.","1"
"Cậu đã xem tin tức hôm nay chưa?","0"
"Mày mà còn nói nữa tao đánh chết mày.","1"
"Gặp tao ngoài đường là mày biết tay.","1"
"Chúng ta cùng nhau cố gắng nhé.","0"
"Mày tưởng mình giỏi lắm à?","1"
"Cả bọn tao sẽ cho mày một bài học.","1"
"Chúng ta cùng nhau cố gắng nhé.","0"
"Mình làm được bài nhờ cậu hướng dẫn.","0"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Cậu đã xem tin tức hôm nay chưa?","0"
"Mày tưởng mình giỏi lắm à?","1"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Đừng có bắt chuyện với tụi tao nữa.","1"
"Mày có biết mình ngu đến mức nào không?","1"
"Bạn có thể giới thiệu cho mình quán ăn ngon không?","0"
"Ồ, mày giỏi quá nhỉ, chẳng ai bằng.","1"
"Mình rất vui khi được làm việc với cậu.","0"
"Cuối tuần này đi xem phim không?","0"
"Mình thấy bạn học giỏi quá, chỉ mình với.","0"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Mày coi chừng đó, không phải chuyện đùa đâu.","1"
"Chúng ta cùng nhau cố gắng nhé.","0"
"Mày coi chừng đó, không phải chuyện đùa đâu.","1"
"Mình rất vui khi được làm việc với cậu.","0"
"Tuyệt vời, mày làm mọi người phải nể.","1"
"Nhìn mặt mày mà tưởng mình là ngôi sao.","1"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Cảm ơn cậu đã giúp đỡ mình lúc trước.","0"
"Mình thích cách bạn giải thích, dễ hiểu lắm.","0"
"Hôm nay cậu mặc áo đẹp đấy.","0"
"Cậu có thể cho mình mượn vở được không?","0"
"Cảm ơn cậu đã giúp đỡ mình lúc trước.","0"
"Bài tập này khó quá, cậu giúp mình với.","0"
"Cảm ơn cậu đã giúp đỡ mình lúc trước.","0"
"Bài tập này khó quá, cậu giúp mình với.","0"
"Cậu có rảnh không? Mình đi uống cà phê nhé.","0"
"Nhìn mày buồn cười quá, không thể chịu nổi.","1"
"Mình thấy cậu rất chăm chỉ, đáng khen.","0"
"Mình rất vui khi được làm việc với cậu.","0"
"Mày có biết mình ngu đến mức nào không?","1"
"Cả bọn tao sẽ cho mày một bài học.","1"
"Mày thật là một thằng con chó.","1"
"Mình vừa đọc một cuốn sách rất hay.","0"
"Bạn nghĩ sao về dự án mới của lớp?","0"
"Cậu có rảnh không? Mình đi uống cà phê nhé.","0"
"Mày tưởng mình giỏi lắm à?","1"
"Mày mà còn nói nữa tao đánh chết mày.","1"
"Đừng có bắt chuyện với tụi tao nữa.","1"
"Mình thấy bạn học giỏi quá, chỉ mình với.","0"
"Mày làm gì cũng hỏng, thật là thảm họa.","1"
"Chúng ta cùng nhau cố gắng nhé.","0"
"Gặp tao ngoài đường là mày biết tay.","1"
"Mình rất vui khi được làm việc với cậu.","0"
"Bạn có thể giới thiệu cho mình quán ăn ngon không?","0"
"Mày coi chừng đó, không phải chuyện đùa đâu.","1"
